input_size,n_blocks_season,n_blocks_trend,n_blocks_identity,mlp_units,num_hidden,n_harmonics,n_polynomials,scaler_type,learning_rate,MAE,RMSE,MAPE,Loss Fn
19,3,1,1,256,3,4,2,standard,0.06387804092729463,0.4501815535515491,0.4760658799012592,1.0,Poisson
21,2,2,1,64,3,4,4,standard,8.531531975928653e-05,0.23962078907233558,0.3106439972195609,0.6235489033207278,Poisson
27,1,1,1,256,2,1,2,standard,0.0001843289031639419,0.11392706658575573,0.14039218116344135,0.2846216480245128,Poisson
60,2,3,3,256,1,3,1,robust,4.5230370901348736e-05,0.31453865112388507,0.43064845580280636,0.800393904964341,Poisson
5,2,3,3,512,2,5,4,robust,0.009372682094154724,0.4501815535515491,0.4760658799012592,1.0,Poisson
3,1,2,1,32,2,1,5,standard,4.786711730242373e-05,0.5352879322992097,0.5637343589960806,1.4962656039855584,Poisson
34,1,1,1,128,3,5,5,robust,7.471701091124486e-05,0.14652773304708713,0.17902759584146768,0.40199259485947836,Poisson
19,3,3,1,32,1,1,2,robust,0.002518940205730311,0.1572793766927222,0.19299540451759903,0.4298777979306543,Poisson
56,2,2,1,64,1,2,1,standard,0.00047153064605324525,0.16165647629693763,0.20076098500647288,0.43671965158251025,Poisson
32,1,1,2,64,3,3,5,standard,0.00022022717187300902,0.13582108710312585,0.1667156336742286,0.3602505074439142,Poisson
45,1,1,2,256,2,2,3,standard,1.0928282703403843e-05,0.2900921230365556,0.36315975926201277,0.8282493305424447,Poisson
33,1,1,2,64,2,2,3,standard,0.0005146363448716032,0.12983882178146391,0.1589346246897786,0.33530376796319045,Poisson
41,1,1,2,512,2,2,3,standard,0.0019886613692826844,0.06545280605720555,0.08386419679500154,0.14143457799503995,Poisson
45,1,1,2,512,2,1,2,standard,0.0034016768031434005,0.08752023642743674,0.1104289715872922,0.2026367086385208,Poisson
46,2,2,2,512,2,2,3,standard,0.0027078332453677073,0.4501815535515491,0.4760658799012592,1.0,Poisson
45,1,2,2,512,2,1,2,standard,0.010437270010563084,0.4501815535515491,0.4760658799012592,1.0,Poisson
52,1,1,3,512,1,2,4,standard,0.01880904450915814,0.4501815535515491,0.4760658799012592,1.0,Poisson
38,3,1,2,512,2,1,3,standard,0.0029622048315318906,0.4501815535515491,0.4760658799012592,1.0,Poisson
41,1,1,3,128,1,3,1,robust,0.0014748500924161173,0.09002009322347222,0.11013052094599485,0.22437081735181655,Poisson
52,2,2,2,512,3,3,2,standard,0.06585076817421867,0.4501815535515491,0.4760658799012592,1.0,Poisson
27,2,2,3,512,2,2,4,standard,0.00631179576621773,0.4501815535515491,0.4760658799012592,1.0,Poisson
39,1,1,3,128,1,3,1,robust,0.001155091696690788,0.08528650036815594,0.10320261838192268,0.21979660136093093,Poisson
39,1,1,2,128,1,4,1,robust,0.0008792587307736853,0.08916196699871014,0.10921856448949327,0.23210371868464305,Poisson
50,1,1,2,128,1,3,1,robust,0.02155663344996238,0.4501815535515491,0.4760658799012592,1.0,Poisson
41,1,1,3,128,1,2,2,robust,0.001152607628129417,0.07370120629975835,0.0914405466548105,0.17816756813233728,Poisson
37,1,1,3,128,1,2,2,robust,0.0007514015454852583,0.0792391486624937,0.10097511915796599,0.1794822415929928,Poisson
27,1,1,3,128,1,2,3,robust,0.0003925541191398757,0.10514402210720679,0.12949494100334585,0.2683143235028934,Poisson
12,1,2,3,128,1,2,2,robust,0.0008963030491076972,0.12135667408585823,0.1489838763869555,0.3437031173234373,Poisson
36,2,1,3,128,1,2,3,robust,0.00023141320429125706,0.16932226824232674,0.21392875727553928,0.42789730300605605,Poisson
42,2,1,3,32,1,3,2,robust,0.0322727234153228,0.4501815535515491,0.4760658799012592,1.0,Poisson
