input_size,n_blocks_season,n_blocks_trend,n_blocks_identity,mlp_units,num_hidden,n_harmonics,n_polynomials,scaler_type,learning_rate,MAE,RMSE,MAPE,Loss Fn
54,1,1,2,32,3,1,5,standard,0.00016178329199278876,0.24943565171820561,0.31868069245216146,0.6822073403947094,Poisson
24,3,3,1,64,2,2,3,robust,0.0001887235000031691,0.17240986192186494,0.21689585956921992,0.4577231801482597,Poisson
51,2,1,2,512,2,2,4,standard,5.4434206481568755e-05,0.13505257022645759,0.1665578448531026,0.3418431445036437,Poisson
21,3,1,2,512,2,5,4,standard,0.010792127765123337,0.4501815535515491,0.4760658799012592,1.0,Poisson
36,1,1,1,32,2,5,4,robust,0.0028446766278817375,0.10297900240974416,0.13020940849686086,0.22250692844363798,Poisson
19,1,3,1,64,1,4,5,standard,0.01673298990074759,0.4501815535515491,0.4760658799012592,1.0,Poisson
49,1,2,1,256,1,3,5,standard,0.06557774212834504,0.4501815535515491,0.4760658799012592,1.0,Poisson
27,1,2,3,128,1,1,1,standard,0.000353670829471434,0.09208265591299024,0.1139870441415331,0.2246963899422392,Poisson
24,1,1,3,64,1,4,5,robust,0.010488933257362505,0.10377523661239636,0.12697910465191772,0.29044890769417614,Poisson
52,2,1,1,128,1,4,4,standard,1.4563101522817132e-05,1.2237477449362593,2.228834868731864,3.0818859084517376,Poisson
5,2,2,3,128,3,1,1,robust,0.0009204385543307271,0.12592151985838432,0.15226849725220482,0.34874678628635364,Poisson
38,1,2,3,32,2,5,1,robust,0.0016770523144681465,0.09557801166938898,0.11639983135980903,0.24443603309944076,Poisson
39,1,2,3,32,3,2,1,robust,0.0004309912382681356,0.13584607386967756,0.16715579123278357,0.3504396330468492,Poisson
39,2,2,3,128,1,3,2,robust,0.0019865310705379368,0.4501815535515491,0.4760658799012592,1.0,Poisson
10,2,2,3,256,2,3,2,standard,6.588403979986174e-05,0.13644370453200097,0.1675364745556703,0.3627124089113564,Poisson
31,1,3,3,32,2,1,2,robust,0.003389881467108892,0.09402411786382288,0.12175671441020765,0.19021084368619934,Poisson
31,1,3,2,128,1,1,2,standard,0.005326693459130575,0.11139544881566325,0.14554477704958127,0.2222546735813211,Poisson
15,3,3,3,32,3,1,2,robust,0.0005320383106008548,0.15582670062246928,0.1888842349728843,0.4447014577061152,Poisson
29,1,3,2,128,1,2,3,standard,0.04975460498497149,0.4501815535515491,0.4760658799012592,1.0,Poisson
60,2,3,3,256,2,1,1,robust,1.3173257862363087e-05,0.2022128069302866,0.2567603988315857,0.5615646223690497,Poisson
45,2,2,3,512,2,2,3,standard,0.0001953824006484391,0.11365282578058376,0.1412608011183364,0.28151494331278015,Poisson
33,1,2,3,32,2,5,1,robust,0.001677880941149294,0.12584539724018945,0.15741640010382751,0.28839455261631697,Poisson
43,1,2,3,32,2,4,1,robust,0.003314515857839151,0.1015322019376569,0.12748722227639567,0.23379249074894107,Poisson
28,1,2,3,32,3,1,2,robust,0.0007861120304196488,0.12976573207288303,0.16078460661223476,0.3152529051263896,Poisson
37,1,2,2,32,1,3,1,robust,0.00561184953811264,0.12146847078886361,0.15155055575541304,0.2920041092330153,Poisson
27,1,3,3,128,2,2,2,robust,0.000368698188218165,0.09377503571486644,0.1189503242068608,0.21121443282433341,Poisson
13,1,3,2,128,3,2,2,robust,0.00040211086725868306,0.1156701846340456,0.14146178113865013,0.3040467784757452,Poisson
25,2,3,3,128,2,1,2,robust,9.466658302594022e-05,0.14333773486289406,0.1776135459482641,0.36118266602416876,Poisson
18,1,3,3,128,1,2,3,standard,0.027068911243646722,0.4501815535515491,0.4760658799012592,1.0,Poisson
32,1,3,2,128,3,1,2,standard,2.7445633821037256e-05,0.2989697630805805,0.35574004446591084,0.8788694952533377,Poisson
