input_size,n_blocks_season,n_blocks_trend,n_blocks_identity,mlp_units,num_hidden,n_harmonics,n_polynomials,scaler_type,learning_rate,MAE,RMSE,MAPE,Loss Fn
57,2,1,3,128,3,1,2,standard,0.0005098776486341039,0.09489759520171973,0.11252616025356091,0.2656508830194433,MAE
10,3,1,3,64,2,3,2,robust,0.0009514040940178827,0.3305552844098001,0.41253288661134674,0.8354099687284351,MAE
26,1,2,2,64,1,2,2,standard,2.55146705712513e-05,1.3929567261232705,1.749005835780759,3.50861085872697,MAE
6,1,3,2,128,3,3,2,standard,0.0019753238452899515,1.5290305632773575,1.8101497859772522,3.8728291049049868,MAE
40,2,2,3,32,1,1,5,robust,5.379624111865688e-05,0.5417528172795834,0.6819737487371454,1.364916687895704,MAE
52,2,1,2,32,3,1,2,standard,0.0005559011315718096,0.16631917134378704,0.21312371065303107,0.4495105694114789,MAE
49,1,2,1,128,1,4,4,robust,0.00017492658693522552,0.23764466447839577,0.3086166197902241,0.5799918978112387,MAE
40,3,3,3,64,3,3,3,robust,5.1887615296625235e-05,0.4599022839949175,0.6113780650026117,1.116686678539337,MAE
42,3,2,1,64,1,1,5,robust,0.008774805576521405,29.577163636451882,37.9389716653553,75.35300301075051,MAE
12,2,1,1,32,3,3,3,robust,0.019958306819450468,0.1708202453907057,0.20249378606349988,0.5239165538064117,MAE
57,2,1,3,128,2,5,1,standard,0.05108270218213518,2248.001402757997,2308.9208945971714,5564.511822479859,MAE
60,2,1,2,32,3,1,1,standard,0.0004915709096298365,0.20092698617552107,0.25805629073474495,0.5121833083014965,MAE
51,2,1,2,128,2,2,2,standard,0.0024478870377706865,0.1241328734405769,0.15293745608552967,0.3359071791794334,MAE
27,2,1,2,128,2,2,1,standard,0.00493833769684025,0.12593233099744836,0.15666061662901212,0.31834093217582576,MAE
49,3,1,3,128,2,2,3,standard,0.0028698560165184676,0.13096743813015937,0.16255476196149804,0.31766140313149493,MAE
34,1,2,2,128,2,2,4,standard,0.00021935751419406089,0.2035572751628933,0.25612583944838246,0.5211650154318838,MAE
21,2,1,3,128,2,2,2,standard,1.0812881878864702e-05,1.8964158654801808,2.379596841953047,4.802685953377762,MAE
55,3,3,1,128,3,4,4,standard,0.0165432190593721,1.1754604056934117,2.2966371316287386,2.7101692116713747,MAE
45,2,1,2,128,2,1,1,standard,0.0002063894021016426,0.24111740757646652,0.3016717756126326,0.6230231166361335,MAE
35,1,2,2,128,2,2,2,standard,0.09474406001017961,4027.9318313305175,4451.234637577635,9698.380488633828,MAE
60,2,1,3,128,3,1,3,standard,0.001138224409655239,0.07162861989100629,0.08565883530236917,0.1963080260188754,MAE
60,2,1,3,128,3,1,3,standard,0.001602818494080272,0.0651849571850871,0.07710030178897903,0.17589075967320716,MAE
60,2,1,3,128,3,1,3,standard,0.0011374318663182302,0.06944640937179164,0.08305077508763742,0.18735061238717354,MAE
60,2,1,3,128,3,1,3,standard,0.0013539233452647052,0.06800162122508997,0.08082806592640446,0.18551644132957737,MAE
54,2,1,3,128,3,1,4,standard,0.007127251261318528,0.13654932815225138,0.16904061561369157,0.4012799178049521,MAE
46,3,2,3,128,3,1,3,standard,0.001106098322202517,0.08383699886816612,0.10024761104438161,0.2337259688571959,MAE
59,1,1,3,128,3,4,4,standard,0.004247022908595229,0.12610074403757834,0.15332317970397485,0.3502356017488951,MAE
54,2,1,3,128,3,2,3,standard,0.001803141642125614,0.08363650835527192,0.09796600641458254,0.2398221819086143,MAE
47,2,2,3,32,3,5,3,standard,0.00010068058726320839,0.9268454202684628,1.294694186564522,2.3524495704548225,MAE
19,1,1,3,64,3,1,4,standard,0.00041497938694671333,0.316375627292731,0.3942104122950877,0.7824388796693704,MAE
